id,dealer_id,type,debit,credit,description,date,created_at,restock_id,payment_type,payment_proof,return_id
7205,3,Purchase,28500,0,"Restock: Showel black bottle (Qty: 300)",2026-03-04,"2026-03-06 12:12:22",403,,,
7206,3,Purchase,36000,0,"Initial: Chadar print special",2026-03-04,"2026-03-06 12:14:26",404,,,
7207,3,Purchase,23400,0,"Initial: Steel Rubber Cup",2026-03-04,"2026-03-06 12:15:28",405,,,
7208,3,Purchase,12000,0,"Initial: Rubber Cup local",2026-03-04,"2026-03-06 12:16:21",406,,,
7209,3,Purchase,4000,0,"Restock: Curling Hadi shoper (Qty: 32)",2026-03-04,"2026-03-06 12:17:24",407,,,
7210,3,Payment,0,53000,"10 cotton 56 k dye ..",2026-02-09,"2026-03-06 12:20:46",,Cash,,
7211,20,Purchase,100800,0,"Restock: Pak safe Disposable Razer (Qty: 280)",2026-03-06,"2026-03-06 12:45:50",408,,,
69aaa2c9dd257,20,"Purchase (Edited)",9000,5750,"Edited Restock: Color match (Qty: 36)",2026-01-24,"2026-03-06 14:47:53",9,,,
7212,31,Purchase,108000,108000,"Restock: Chadar Print (Qty: 480)",2026-03-05,"2026-03-06 14:54:40",409,,,
7213,20,Purchase,46500,0,"Restock: Blade Pro UK (Qty: 20)",2026-02-21,"2026-03-06 19:55:27",410,,,
69abc5e4f3866,20,"Purchase (Edited)",25600,22400,"Edited Restock: Scissors Jagwar (Qty: 16)",2026-01-24,"2026-03-07 11:29:56",65,,,
7214,20,Purchase,47500,0,"Restock: Blade Pro UK (Qty: 20)",2026-03-03,"2026-03-07 14:06:28",411,,,
7215,20,Purchase,47000,0,"Restock: Blade Silver star (Qty: 20)",2026-03-04,"2026-03-07 14:08:05",412,,,
7216,20,Purchase,41500,0,"Restock: Blade T-10 (Qty: 20)",2026-03-04,"2026-03-07 14:09:07",413,,,
7217,20,Purchase,40500,0,"Restock: Blade Clean shave (Qty: 20)",2026-03-04,"2026-03-07 14:09:50",414,,,
7219,1,Payment,0,10000,"ye Raqam Salman Quetta ki jama howe 56 k 2 cotton dye",2026-03-03,"2026-03-09 12:52:07",,Cash,,
7220,20,Purchase,12096,0,"Restock: Electric hair color (Qty: 72)",2026-03-06,"2026-03-09 14:20:02",416,,,
7221,20,Purchase,44999.976,0,"Restock: Jolly Shaving cream (Qty: 336)",2026-03-06,"2026-03-09 14:22:05",417,,,
7223,20,Purchase,52000,0,"Restock: Nose Strip-Patti (Qty: 4000)",2026-03-06,"2026-03-09 14:25:05",419,,,
7224,20,Purchase,10000,0,"Restock: Trimer Machine Dingling RF-1972 (Qty: 4)",2026-03-06,"2026-03-09 14:25:53",420,,,
7225,20,Purchase,12500,0,"Restock: Neck Roll (Qty: 20)",2026-03-06,"2026-03-09 14:26:31",421,,,
7226,20,Purchase,10950,0,"Restock: Trimer Machine Dingling RF-1861 (Qty: 3)",2026-03-07,"2026-03-09 14:51:12",422,,,
7227,20,Purchase,7500,0,"Restock: Trimer Machine Dingling RF-1972 (Qty: 3)",2026-03-07,"2026-03-09 14:51:46",423,,,
7228,20,Purchase,5100,0,"Restock: Trimer Machine Dingling D-290 (Qty: 3)",2026-03-07,"2026-03-09 14:52:20",424,,,
7229,20,Purchase,11200,0,"Restock: Trimer Machine Dingling RF-1981 c.cash (Qty: 4)",2026-03-07,"2026-03-09 14:52:52",425,,,
7230,20,Purchase,18000,0,"Restock: Trimer Machine Kemyi 3 in 1 mix (Qty: 15)",2026-03-07,"2026-03-09 14:54:19",426,,,
7231,20,Purchase,16000,0,"Restock: Trimer Machine Dingling D-071 (Qty: 10)",2026-03-07,"2026-03-09 14:55:08",427,,,
7232,20,Purchase,7500,0,"Restock: Trimer Machine Dingling RF-609 pro (Qty: 3)",2026-03-07,"2026-03-09 14:55:52",428,,,
7233,20,Purchase,47500,0,"Restock: Wax Satche (Qty: 250)",2026-03-07,"2026-03-09 14:56:58",429,,,
7234,20,Purchase,6800,0,"Restock: Facial Tube kit Cerave (Qty: 8)",2026-03-07,"2026-03-09 14:57:29",430,,,
7235,29,Purchase,124500,0,"Restock: Scissors Daska (Qty: 83)",2026-03-09,"2026-03-09 21:25:34",431,,,
69af0d9c79190,20,"Purchase (Edited)",28000,0,"Edited Restock: Powder Dani (Qty: 35)",2026-01-24,"2026-03-09 23:12:44",56,,,
7236,23,Purchase,14700,0,"Initial: Bleach Powder",2026-03-05,"2026-03-09 23:39:08",432,,,
7237,20,Purchase,1140,0,"Initial: Shaving Brush pcs",2026-01-26,"2026-03-09 23:44:46",433,,,
7238,16,Advance,0,25000,"Advance Payment for shaving brush",2026-03-10,"2026-03-10 15:01:39",,Online,,
7240,7,Purchase,9000,0,"Restock: Color Brush Medium (Qty: 50)",2026-03-10,"2026-03-10 15:10:45",435,,,
